HGNC symbol	MIM morbid accession
KRTAP10-11	
IMMTP1	
	
KRTAP12-4	
KRTAP10-4	
	
	
SLC22A17	
RAD9B	
	
	
YY2	
	
KRTAP12-2	
MBTPS2	308800
MBTPS2	308205
MBTPS2	300918
	
KRTAP10-1	
ID3	
KRTAP10-7	
KRTAP10-6	
TSPEAR-AS2	
KLHL36	
RGL4	
	
KRTAP12-1	
SKP2	
APOL6	
KRTAP10-12	
FNTAP2	
RPSAP59	
	
MS4A5	
ISY1-RAB43	
	
TSPEAR-AS1	
	
RPL9P21	
KRTAP10-2	
SUMO2P3	
BEX4	
KRTAP12-3	
KRTAP10-3	
PAQR4	
HLA-E	
KRTAP10-8	
KRTAP10-13P	
RGS18	
	
KRTAP10-10	
	
GOLGA7	
CBX3P6	
	
	
	
GSR	
	
	
NIP7P3	
MTCO1P45	
	
B4GALNT4	
NT5DC1	
	
RPL12P10	
PCMTD1	
	
ABCB10P4	
	
ACTG1P21	
	
RING1	
LINC02536	
PKMYT1	
RPS8P6	
LIN54	
NUB1	
PLPPR4	
RPL3L	
SBNO2	
	
	
	
PTMS	
	
	
BRWD1-AS2	
	
	
ACTBP6	
	
BRWD1-IT1	
CD200R1	
IGJP1	
NIFKP3	
	
	
TPT1P5	
	
	
	
RPL5P14	
EIF2AP4	
	
	
	
COL10A1	156500
	
PDZD2	
FTOP1	
PIK3R5	615217
	
	
MMS19	
	
LY6G6E	
	
	
	
TSPYL4	
NR0B2	601665
CHCHD6	
	
	
VANGL2	182940
LY6G6F	
	
HLA-Z	
	
NUDC	
	
	
INPP5B	
ELAVL4	
	
DTNB	
RBM48	
UQCRBP1	
LINC02106	
	
	
NEB	256030
	
	
LY6G6D	
TMEM72	
PNOC	
	
KAT6B	606170
KAT6B	603736
CSF2RB	614370
RSPH10B	
TSPYL1	608800
WASHC1	
	
MICD	
	
GUSBP11	
HLA-H	
LY6G6C	
C10orf10	
HLA-W	
NDUFAF3	252010
	
HLA-U	
HCG9	
DSE	
STAU2	
HLA-T	
HPGD	259100
HPGD	119900
ZNRD1	
RPL5P22	
	
	
LINC02032	
	
CICP11	
	
VPS29	
RASSF4	
MRPL32P1	
	
MDS2	
LINC01981	
	
	
LINC01980	
	
	
	
HNRNPA1P20	
BAG4	
	
RCC2P4	
LINC02045	
DDX11L5	
MAPK8IP1P1	
	
BEND3	
GPATCH3	
	
LINC01967	
	
LINC01448	
	
WFS1	614296
WFS1	600965
WFS1	222300
WFS1	125853
WFS1	116400
	
	
TCP1P1	
DRICH1	
SRPRB	
DIRAS1	
	
	
	
	
NSRP1P1	
HSPE1P25	
	
	
	
PRRX1	202650
MIGA1	
	
ASLP1	
SLC39A3	
STAR	201710
	
	
ISL1	
	
KIR2DL4	
SLC37A1	
LRRC37A2	
	
	
	
AIPL1	604393
AIPL1	268000
	
USP9X	300968
USP9X	300919
ZNF720P1	
ARIH2	
DDX39BP1	
MCCD1P1	
VN1R66P	
	
	
PCGEM1	
RPS17P8	
RAB6B	
HLA-K	
	
TIGD4	
HCG4B	
RBM22P12	
	
	
LRRC52	
LSM1	
ALG6	603147
CLGN	
	
RPL5P19	
	
LINC02531	
	
ATF1P1	
	
PKNOX1	
	
TMEM72-AS1	
	
INSL6	
	
NUP205	616893
RIC3	
ARL17B	
CCZ1	
	
TCTA	
RPS24P12	
PDSS2	614652
	
WDR86-AS1	
AQP7	614411
	
	
COPS5P1	
HNRNPA1P35	
SMN2	253400
MCCD1P1	
FAM126B	
HLA-J	
	
ASH2L	
ANXA9	
RHOA-IT1	
RHOA	
	
SEC31A	
MS4A1	613495
	
